Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,55.64,56.75,55.44,55.71,20619900,55.71
2013-03-28,52.04,54.51,51.45,54.22,24210600,54.22
2013-03-27,51.66,52.58,50.95,52.07,12416500,52.07
2013-03-26,51.67,52.14,51.10,52.09,10759300,52.09
2013-03-25,53.40,53.40,51.13,51.31,18177500,51.31
2013-03-22,53.01,53.46,52.96,53.27,8501200,53.27
2013-03-21,52.20,53.05,51.94,52.92,14056500,52.92
2013-03-20,51.67,52.61,51.05,52.42,14632700,52.42
2013-03-19,51.00,51.38,50.46,51.10,14623700,51.10
2013-03-18,49.86,50.55,49.55,50.11,14339000,50.11
2013-03-15,51.72,52.08,50.33,50.41,21767000,50.41
2013-03-14,51.79,52.90,51.60,51.80,17144800,51.80
2013-03-13,52.96,53.00,50.62,50.98,19805200,50.98
2013-03-12,51.70,53.10,50.90,52.96,16123900,52.96
2013-03-11,53.10,53.34,52.67,52.76,8965000,52.76
2013-03-08,53.18,53.46,52.26,53.13,13077000,53.13
2013-03-07,53.69,53.87,52.75,52.98,9450000,52.98
2013-03-06,54.98,55.00,53.44,53.57,14560300,53.57
2013-03-05,55.55,56.00,54.76,55.26,9812600,55.26
2013-03-04,54.34,55.49,54.25,55.48,9750900,55.48
2013-03-01,54.59,55.10,54.02,54.90,6422900,54.90
2013-02-28,54.50,55.18,54.26,54.71,9575500,54.71
2013-02-27,54.02,54.56,53.67,54.15,7662300,54.15
2013-02-26,53.77,53.97,53.12,53.82,8463000,53.82
2013-02-25,55.41,55.65,53.60,53.61,7336400,53.61
2013-02-22,54.96,55.13,54.57,55.02,5087300,55.02
2013-02-21,55.34,55.58,53.90,54.62,10728400,54.62
2013-02-20,56.90,57.10,55.48,55.53,7396000,55.53
2013-02-19,56.86,56.98,56.36,56.68,5702100,56.68
2013-02-15,56.81,57.15,56.41,56.70,9130200,56.70
2013-02-14,56.79,57.12,56.63,56.83,7054800,56.83
2013-02-13,56.86,57.26,56.41,57.05,9096000,57.05
2013-02-12,56.40,57.18,56.11,56.78,10023700,56.78
2013-02-11,56.52,56.58,55.75,56.41,5150900,56.41
2013-02-08,56.46,57.08,56.39,56.62,8066900,56.62
2013-02-07,56.17,56.39,55.35,56.13,7646600,56.13
2013-02-06,56.01,56.50,55.72,56.11,7003300,56.11
2013-02-05,56.03,56.87,55.80,56.42,6184900,56.42
2013-02-04,56.65,56.73,55.63,55.69,8659200,55.69
2013-02-01,56.41,57.27,56.13,57.21,8471400,57.21
2013-01-31,55.36,56.26,55.31,55.97,7946400,55.97
2013-01-30,55.98,56.50,55.52,55.78,6979300,55.78
2013-01-29,55.66,55.84,55.29,55.66,7037200,55.66
2013-01-28,56.19,56.34,55.73,55.95,7876400,55.95
2013-01-25,56.00,56.66,55.92,56.53,13330200,56.53
2013-01-24,53.58,55.34,53.57,55.19,12751200,55.19
2013-01-23,53.39,54.02,53.33,53.38,9036800,53.38
2013-01-22,54.15,54.32,53.06,53.37,10678200,53.37
2013-01-18,54.17,54.50,53.70,54.21,10558700,54.21
2013-01-17,54.13,54.88,53.75,54.17,24458600,54.17
2013-01-16,52.93,53.46,51.88,52.90,22253100,52.90
2013-01-15,53.19,53.46,52.36,52.51,9624400,52.51
2013-01-14,53.58,53.67,52.83,53.18,10600100,53.18
2013-01-11,53.14,53.83,53.06,53.70,11445200,53.70
2013-01-10,53.34,53.50,52.43,53.00,7331300,53.00
2013-01-09,52.82,53.42,52.45,52.76,8099900,52.76
2013-01-08,53.36,54.20,52.51,52.68,11528200,52.68
2013-01-07,52.53,53.58,52.06,53.51,10185600,53.51
2013-01-04,52.46,53.12,52.22,52.78,6486300,52.78
2013-01-03,53.49,53.65,52.15,52.45,10831400,52.45
2013-01-02,52.40,53.70,52.04,53.59,13798900,53.59
